Scene,Task,Samples,Score,MCQ,TimeIoU,Avg Time (s)
cityflow,MotionReasoning,11,0.9091,0.9091,0.0000,27.76
cityflow,MultiTrajectoryForecasting,10,0.2970,0.9000,0.2970,118.85
cityflow,NextCameraForecasting,10,0.4730,1.0000,0.4730,55.45
cityflow,SpatialReasoning,10,0.9000,0.9000,0.0000,21.96
cityflow,TemporalReasoning,11,0.5455,0.5455,0.0000,59.29
cityflow,TimelineInference,10,0.6000,0.6000,0.0000,35.37
cityflow,TrajectoryForecasting,10,0.3050,1.0000,0.3050,127.85
mtmmc,MotionReasoning,10,0.9000,0.9000,0.0000,181.31
mtmmc,MultiTrajectoryForecasting,11,0.2109,0.8182,0.2109,250.14
mtmmc,NextCameraForecasting,10,0.4180,1.0000,0.4180,172.10
mtmmc,SpatialReasoning,10,1.0000,1.0000,0.0000,42.66
mtmmc,TemporalReasoning,10,0.9000,0.9000,0.0000,74.96
mtmmc,TimelineInference,10,1.0000,1.0000,0.0000,55.18
mtmmc,TrajectoryForecasting,10,0.2410,1.0000,0.2410,328.63
