case_id,task_type,score,accuracy_score,time_score,elapsed_time
HYLBobFmnMsBo6XjBKaivm,cityflow_NextCameraForecasting,0.2,1,0.2,37.1
7q6qvuWqWeXfoHr99HCbJU,cityflow_NextCameraForecasting,0.27,1,0.27,43.7
MV7DJoc73cGMcroZpwopwB,cityflow_NextCameraForecasting,0.89,1,0.89,54.8
TwVPUQrhkBJ9TRrrRhbJbY,cityflow_NextCameraForecasting,0.7,1,0.7,56.6
5P5jd85JgawUmdVFC7oBDD,cityflow_NextCameraForecasting,0.29,1,0.29,71.1
Mm3QjLvdRejT54AFBcqih4,cityflow_NextCameraForecasting,0,1,0,73.1
6uETzf5qZJKgUQCzotcxq2,cityflow_NextCameraForecasting,0.75,1,0.75,85.2
fVM35GsweXXP3h4LugHjxQ,cityflow_NextCameraForecasting,0.15,1,0.15,54.1
8z4wPo6WWiCqswhNiGkGE6,cityflow_NextCameraForecasting,0.75,1,0.75,36.2
54RDbfsUqvQASjpKF7td5i,cityflow_NextCameraForecasting,0.73,1,0.73,42.6
CLt7NKyYdTjitUBELAwQeq,cityflow_MultiTrajectoryForecasting,0.23,1,0.23,325.1
bmyLuSDj9XuA9CGUt72XjU,cityflow_MultiTrajectoryForecasting,0.56,1,0.56,84.6
5ACkaUNvFTPCmd4nK3dEKn,cityflow_MultiTrajectoryForecasting,0,0,0,111.9
9SiA8dGy8JpMP3BxziRaAk,cityflow_MultiTrajectoryForecasting,0.71,1,0.71,116.1
S7LavVARMwiZiVEpGcGodM,cityflow_MultiTrajectoryForecasting,0.5,1,0.5,122.9
V849VLrmtVQKADAj6TaPMm,cityflow_MultiTrajectoryForecasting,0.32,1,0.32,27.2
H35WYd2gkUKZqi5edKygac,cityflow_MultiTrajectoryForecasting,0.17,1,0.17,68.6
F5NrvE4F7Vm89hHUhyNTpC,cityflow_MultiTrajectoryForecasting,0.21,1,0.21,129.4
kwzoZuCBt9ToDcwAaqaE69,cityflow_MultiTrajectoryForecasting,0.27,1,0.27,66.2
Y3zSvndNsK5n2UNAFdhzut,cityflow_MultiTrajectoryForecasting,0,1,0,136.5
VL2rYXwoRccyCJkM2cnADw,cityflow_TrajectoryForecasting,0.27,1,0.27,289
686QiPzVi8UaHkxnuFLbbg,cityflow_TrajectoryForecasting,0.16,1,0.16,140.7
Lne7cdygSEexQSQAg5Fydn,cityflow_TrajectoryForecasting,0.22,1,0.22,182.3
EmRtJvLNFQjEPY9Pn66XZw,cityflow_TrajectoryForecasting,0.17,1,0.17,160.4
EBmUnJDQVS5a3p3Qp2DPKC,cityflow_TrajectoryForecasting,0.55,1,0.55,93.9
6sX8LoeVMAfJhrUjeERTRC,cityflow_TrajectoryForecasting,0.5,1,0.5,192.9
aajghDwXdQVmY5G6gdmzNb,cityflow_TrajectoryForecasting,0.51,1,0.51,69.5
a5zJi4SrYNcuszKZ7DqQwh,cityflow_TrajectoryForecasting,0.24,1,0.24,37.4
NumjKnKn5QHEBfm3eYeJFg,cityflow_TrajectoryForecasting,0,1,0,52.9
MYARkuQy2dF2ZJnS2BrPTB,cityflow_TrajectoryForecasting,0.43,1,0.43,59.5
KehMGKMHJJ2RiWzTpeXKYQ,cityflow_MotionReasoning,1,1,0,18.6
A7BcbRXxfETBSv2swNQPVi,cityflow_MotionReasoning,1,1,0,29.2
XpuStYDGgFafadcJbvnVGA,cityflow_MotionReasoning,1,1,0,8.4
dYWkEA5nBut3qvJ7rcjYed,cityflow_MotionReasoning,1,1,0,35.5
EgQs4VDvpAarJpaNMP9Zvp,cityflow_MotionReasoning,1,1,0,35.9
SZtuQZ3cbdHwET7FUuxpmE,cityflow_MotionReasoning,1,1,0,18.4
K6orrTmUktz3RbUHhqNDzS,cityflow_MotionReasoning,1,1,0,21.6
DuVPXyq9PMEjE4YD2PLRdW,cityflow_MotionReasoning,1,1,0,15.6
DcxJ55UZ95wgTdyk8dsrvf,cityflow_MotionReasoning,1,1,0,31.9
7sFHZoaFsrNzUhYTbZtag3,cityflow_MotionReasoning,0,0,0,48.3
6H7CivsQy4rkHJBT2qHTBX,cityflow_MotionReasoning,1,1,0,42
TAFXtPq2mCTSGqjM3nbFZJ,cityflow_SpatialReasoning,1,1,0,63
mh3NgqxYDjiR9dRAMDhkCk,cityflow_SpatialReasoning,1,1,0,10.8
EUua4SuB4wgDmq9wQSAzYc,cityflow_SpatialReasoning,0,0,0,33.1
3pV3T8TZQCEkBsqVDX5e3x,cityflow_SpatialReasoning,1,1,0,23.3
HmRwGEvJWJu9ziHXeQoubW,cityflow_SpatialReasoning,1,1,0,7.9
F8qcsvV3wHB8KMip27eMeB,cityflow_SpatialReasoning,1,1,0,10.8
fn9dZoUEmYbTLZY6sGxecp,cityflow_SpatialReasoning,1,1,0,14
TfacCWmWeYTRouZxXmbGb7,cityflow_SpatialReasoning,1,1,0,19.3
KBpjUYoX353oUKEwjhH5zi,cityflow_SpatialReasoning,1,1,0,12.1
bxwTAoWVDdCYxxmXS3EJpq,cityflow_SpatialReasoning,1,1,0,25.3
LDqNTeKrfrnhdwWJkLkyoo,cityflow_TemporalReasoning,1,1,0,47.3
Ca5mXRcxdmUBz5EqnvThPZ,cityflow_TemporalReasoning,1,1,0,33.3
8RhsqF64qz3KLqnKyGB6w7,cityflow_TemporalReasoning,0,0,0,29.9
ixeTfoC5skeB4pPXg8e2uT,cityflow_TemporalReasoning,0,0,0,101.3
ebB8qrEB86vDYG8Cipzcgz,cityflow_TemporalReasoning,1,1,0,46.8
DLfPrSTNzHnqmSU7K2hUWx,cityflow_TemporalReasoning,0,0,0,43
Dib9g8qwP23n6Hh5EXYdvG,cityflow_TemporalReasoning,1,1,0,155.2
FCMHmZ5aroGp5oGJMyJ5ov,cityflow_TemporalReasoning,1,1,0,40.5
LyRN7dEjxXWk5LQLWhNhF5,cityflow_TemporalReasoning,0,0,0,64.2
dHWz5NjqeMW3hsW356bjEu,cityflow_TemporalReasoning,1,1,0,37.4
6VdW7w4yfFU6dPZMn9t9oi,cityflow_TemporalReasoning,0,0,0,53.3
ffNQe5JuSwpZBt43qNCCRH,cityflow_TimelineInference,1,1,0,36.4
gyXFGSfwBseAsG4DsrC8AA,cityflow_TimelineInference,1,1,0,25.8
dzwHRqWUARSBMeKNnresg5,cityflow_TimelineInference,1,1,0,42.3
92BmNeeEJGSDoFsXQLkLWZ,cityflow_TimelineInference,1,1,0,48.9
huruZo2LaJJmKFS9PXhusM,cityflow_TimelineInference,0,0,0,19
eJTNf5HVFowxyHwW8C5SJC,cityflow_TimelineInference,1,1,0,32
44VdFYdWZzPKhPgcLGV8MM,cityflow_TimelineInference,0,0,0,33.5
H6bCtpiQozNEpvH2trRUhA,cityflow_TimelineInference,1,1,0,37.9
kwrGBcXxqLP3s4naYzyNTe,cityflow_TimelineInference,0,0,0,55.6
BKBG5VZRt9498B73se9BvV,cityflow_TimelineInference,0,0,0,22.3
jLmFyfBrGBaxMkxeofz7iM,mtmmc_MotionReasoning,1,1,0,133.3
bP8hp2f6xDFX5hSmF8vmtw,mtmmc_MotionReasoning,1,1,0,79.2
j484MQyBeJyYTk2zNJAei4,mtmmc_MotionReasoning,1,1,0,8.4
MWw4bL4ZivBAiQytUr89Lj,mtmmc_MotionReasoning,1,1,0,76.5
HZta3vVpH26Myud6UngAi2,mtmmc_MotionReasoning,1,1,0,53.4
hXntFLYqbNbq7P5RKqsJtx,mtmmc_MotionReasoning,1,1,0,51.3
V5WXrXdHGdFnW4wGuUedjs,mtmmc_MotionReasoning,1,1,0,92.9
AtesridmSvkyyK5vCHK6Sa,mtmmc_MotionReasoning,0,0,0,272.6
Xmm9KAbqLANqMRyk4usgiF,mtmmc_MotionReasoning,1,1,0,949.9
